rank,title,artists,img_url,song_url,date_scraped
1,Mất Kết Nối,Dương Domic,https://avatar-ex-swe.nixcdn.com/song/2024/11/21/5/9/b/6/1732160020288.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=1,2025-05-14 20:13:29
2,Hãy Trao Cho Anh,"Sơn Tùng M-TP, Snoop Dogg",https://avatar-ex-swe.nixcdn.com/song/2019/07/03/7/5/b/e/1562137543919.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=2,2025-05-14 20:13:29
3,Tái Sinh,Tùng Dương,https://avatar-ex-swe.nixcdn.com/song/2024/11/16/3/6/e/7/1731748031298.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=3,2025-05-14 20:13:29
4,Giờ Thì,buitruonglinh,https://avatar-ex-swe.nixcdn.com/song/2024/12/09/e/c/4/1/1733730837620.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=4,2025-05-14 20:13:29
5,CHẠY NGAY ĐI,Sơn Tùng M-TP,https://avatar-ex-swe.nixcdn.com/song/2018/05/12/e/8/6/f/1526059033533.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=5,2025-05-14 20:13:29
6,E Là Không Thể,Anh Quân,https://avatar-ex-swe.nixcdn.com/song/2023/10/03/8/4/f/d/1696334202122.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=6,2025-05-14 20:13:29
7,TÌNH ĐẦU QUÁ CHÉN,"ANH TRAI ""SAY HI"", Quang Hùng MasterD, Negav, Pháp Kiều, ERIK",https://avatar-ex-swe.nixcdn.com/song/2024/09/13/f/1/0/2/1726246384758.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=7,2025-05-14 20:13:29
8,Khó Vẽ Nụ Cười,"Đạt G, Du Uyên",https://avatar-ex-swe.nixcdn.com/song/2019/09/17/b/a/5/a/1568694782034.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=8,2025-05-14 20:13:29
9,Anh Đau Từ Lúc Em Đi,Trần Mạnh Cường,https://avatar-ex-swe.nixcdn.com/song/2024/09/30/b/H/B/m/1727692480687.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=9,2025-05-14 20:13:29
10,"Đi Giữa Trời Rực Rỡ (From ""Đi Giữa Trời Rực Rỡ"")",Ngô Lan Hương,https://avatar-ex-swe.nixcdn.com/song/2024/08/15/n/m/F/k/1723689056060.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=10,2025-05-14 20:13:29
11,"KIM PHÚT, KIM GIỜ","Isaac, Negav, HIEUTHUHAI, HURRYKNG, Pháp Kiều, ANH TRAI ""SAY HI""",https://avatar-ex-swe.nixcdn.com/song/2024/08/23/e/c/3/c/1724421820127.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=11,2025-05-14 20:13:29
12,Chân Ái,"Orange, Khói, Châu Đăng Khoa",https://avatar-ex-swe.nixcdn.com/song/2020/02/17/f/6/a/4/1581934405838.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=12,2025-05-14 20:13:29
13,bình yên,"Vũ., Binz",https://avatar-ex-swe.nixcdn.com/song/2024/08/27/0/2/6/0/1724763969278.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=13,2025-05-14 20:13:29
14,NGÁO NGƠ,"ANH TRAI ""SAY HI"", HIEUTHUHAI, ERIK, Anh Tú Atus, JSOL, Orange",https://avatar-ex-swe.nixcdn.com/song/2024/08/02/6/5/b/a/1722607585053.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=14,2025-05-14 20:13:29
15,Chăm Hoa,MONO,https://avatar-ex-swe.nixcdn.com/song/2024/10/18/1/8/a/e/1729256233324.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=15,2025-05-14 20:13:29
16,LÀN ƯU TIÊN,"Quang Hùng MasterD, JSOL, HURRYKNG, Dương Domic, MOPIUS",https://avatar-ex-swe.nixcdn.com/song/2024/12/03/1/3/7/d/1733199856213.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=16,2025-05-14 20:13:29
17,SAO HẠNG A,"ANH TRAI ""SAY HI"", HIEUTHUHAI, Dương Domic, Song Luân, JSOL",https://avatar-ex-swe.nixcdn.com/song/2024/09/13/f/1/0/2/1726246384758.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=17,2025-05-14 20:13:29
18,TRÀN BỘ NHỚ,"ANH TRAI ""SAY HI"", Dương Domic",https://avatar-ex-swe.nixcdn.com/song/2024/09/07/c/7/8/0/1725682110609.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=18,2025-05-14 20:13:29
19,CATCH ME IF YOU CAN,"ANH TRAI ""SAY HI"", Quang Hùng MasterD, Negav, Công Dương, NICKY",https://avatar-ex-swe.nixcdn.com/song/2024/07/05/8/d/1/2/1720195916328.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=19,2025-05-14 20:13:29
20,CHÂN THÀNH,"ANH TRAI ""SAY HI"", RHYDER, CAPTAIN BOY, Quang Hùng MasterD, WEAN, Ali Hoàng Dương",https://avatar-ex-swe.nixcdn.com/song/2024/08/17/f/b/4/4/1723893395674.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=20,2025-05-14 20:13:29
21,HÀO QUANG,"RHYDER, Dương Domic, Pháp Kiều, ANH TRAI ""SAY HI""",https://avatar-ex-swe.nixcdn.com/song/2024/07/12/a/b/4/1/1720794956958.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=21,2025-05-14 20:13:29
22,Khóa Ly Biệt,"The Masked Singer, Voi Bản Đôn",https://avatar-ex-swe.nixcdn.com/song/2023/11/03/f/d/e/0/1699029204532.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=22,2025-05-14 20:13:29
23,Những Lời Hứa Bỏ Quên,"Vũ., Dear Jane",https://avatar-ex-swe.nixcdn.com/song/2023/12/12/7/a/0/c/1702398577338.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=23,2025-05-14 20:13:29
24,Bầu Trời Mới,"Da LAB, Minh Tốc & Lam",https://avatar-ex-swe.nixcdn.com/song/2024/10/02/2/a/f/2/1727843689942.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=24,2025-05-14 20:13:29
25,Lao Tâm Khổ Tứ,Thanh Hưng,https://avatar-ex-swe.nixcdn.com/song/2023/02/27/2/9/a/2/1677479336112.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=25,2025-05-14 20:13:29
26,TRÓI EM LẠI,"ANH TRAI ""SAY HI"", Quang Hùng MasterD",https://avatar-ex-swe.nixcdn.com/song/2024/09/07/c/7/8/0/1725682110609.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=26,2025-05-14 20:13:29
27,REGRET,"ANH TRAI ""SAY HI"", Quân A.P, Pháp Kiều, Quang Trung, Ali Hoàng Dương, Lâm Bảo Ngọc",https://avatar-ex-swe.nixcdn.com/song/2024/08/02/6/5/b/a/1722607585053.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=27,2025-05-14 20:13:29
28,Nơi Này Có Anh,Sơn Tùng M-TP,https://avatar-ex-swe.nixcdn.com/song/2024/03/15/4/c/b/d/1710498649541.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=28,2025-05-14 20:13:29
29,Ải Hồng Nhan,Dunghoangpham,https://avatar-ex-swe.nixcdn.com/song/2024/11/06/e/f/e/b/1730908755504.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=29,2025-05-14 20:13:29
30,MẸ YÊU CON,"Cường Seven, Phan Đình Tùng, Bằng Kiều, Jun Phạm, Tự Long, Trương Thế Vinh, Tuấn Hưng, SOOBIN, S.T Sơn Thạch, Kay Trần, BB Trần",https://avatar-ex-swe.nixcdn.com/song/2024/11/13/b/3/5/d/42438.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=30,2025-05-14 20:13:29
31,một đời,"14 Casper, Bon Nghiêm, buitruonglinh",https://avatar-ex-swe.nixcdn.com/song/2022/12/20/5/6/7/f/1671530957863.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=31,2025-05-14 20:13:29
32,Không Thể Say,HIEUTHUHAI,https://avatar-ex-swe.nixcdn.com/song/2023/04/19/d/2/5/3/1681879735020.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=32,2025-05-14 20:13:29
33,Nỗi Đau Đính Kèm,"Anh Tú Atus, RHYDER",https://avatar-ex-swe.nixcdn.com/song/2024/12/09/e/c/4/1/1733717166932.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=33,2025-05-14 20:13:29
34,Không Ra Gì,Trúc Nhân,https://avatar-ex-swe.nixcdn.com/song/2024/11/12/e/f/7/f/19808.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=34,2025-05-14 20:13:29
35,Pin Dự Phòng,"Dương Domic, Lou Hoàng",https://avatar-ex-swe.nixcdn.com/song/2024/11/21/5/9/b/6/1732159976457.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=35,2025-05-14 20:13:29
36,Wrong Times,"Puppy, Dangrangto",https://avatar-ex-swe.nixcdn.com/song/2023/05/15/f/b/b/1/1684136843659.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=36,2025-05-14 20:13:29
37,Dưới Tán Cây Khô Hoa Nở,Jack - J97,https://avatar-ex-swe.nixcdn.com/song/2024/12/10/1/a/8/4/1733836443692.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=37,2025-05-14 20:13:29
38,Vạn Sự Tùy Duyên,Thanh Hưng,https://avatar-ex-swe.nixcdn.com/song/2023/06/27/2/a/4/2/1687856230286.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=38,2025-05-14 20:13:29
39,Think About U,Kay Châu Anh,https://avatar-ex-swe.nixcdn.com/song/2024/11/05/2/0/5/4/1730781542306.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=39,2025-05-14 20:13:29
40,Rồi Em Sẽ Gặp Một Chàng Trai Khác,"The Masked Singer, Hippohappy",https://avatar-ex-swe.nixcdn.com/song/2023/11/15/d/6/1/0/1700018872628.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=40,2025-05-14 20:13:29
41,Âm Thầm Bên Em,Sơn Tùng M-TP,https://avatar-ex-swe.nixcdn.com/song/2024/03/15/4/c/b/d/1710499661240.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=41,2025-05-14 20:13:29
42,ĐỀU LÀ CỦA EM,"Quang Trung, Song Luân, Anh Tú Atus, Anh Tú, Dương Domic, ANH TRAI ""SAY HI""",https://avatar-ex-swe.nixcdn.com/song/2024/08/23/e/c/3/c/1724421820127.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=42,2025-05-14 20:13:29
43,"7 Lần Vấp Ngã, 8 Lần Đứng Lên","MiiNa (DREAMeR), RIN9, DREAMeR",https://avatar-ex-swe.nixcdn.com/song/2024/11/14/a/2/b/a/1731567262686.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=43,2025-05-14 20:13:29
44,Tràn Bộ Nhớ,Dương Domic,https://avatar-ex-swe.nixcdn.com/song/2024/11/21/5/9/b/6/1732159934252.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=44,2025-05-14 20:13:29
45,ĐÓA PHÙ DUNG CUỐI CÙNG,"ANH TRAI ""SAY HI"", Đức Phúc",https://avatar-ex-swe.nixcdn.com/song/2024/09/07/c/7/8/0/1725682110609.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=45,2025-05-14 20:13:29
46,ANH BIẾT RỒI,"RHYDER, ANH TRAI ""SAY HI""",https://avatar-ex-swe.nixcdn.com/song/2024/08/31/5/f/c/2/1725070519239.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=46,2025-05-14 20:13:29
47,Ngày Đẹp Trời Để Nói Chia Tay,Lou Hoàng,https://avatar-ex-swe.nixcdn.com/song/2024/06/10/0/1/c/c/1718028171784.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=47,2025-05-14 20:13:29
48,Cẩm Tú Cầu,"RayO, Huỳnh Văn",https://avatar-ex-swe.nixcdn.com/song/2024/03/27/c/1/8/8/1711523405837.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=48,2025-05-14 20:13:29
